dbkey,tmaxZeroZone,hastargetcl,caplettersworddif,urlsim,sWordRatio,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,sPositiveZoneRatio,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,tmaxOneZone,sNegativeZoneRatio,hastargeturl,hassourcecl,tWordRatio,smaxZeroZone,hassourcetag,hassourcepunctuation,punctsim,nwordssource,smaxOneZone,tPositiveZoneRatio,tNegativeZoneRatio,hassourceurl
41-41,0.0,1.0,0.0,1.0,0.93,0.0,1,0.0,79,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,0.09,1.0,1.0,1.0,1.0,0.33,0.0,1.0,1.0,0.07,0.0,0.0,1.0,80,0.57,1.0,0.0,0.0
42-42,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,12,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12,1.0,1.0,0.0,0.0
43-43,0.06,1.0,0.0,1.0,0.79,0.0,1,0.0,204,0.0,0.0,0.0,0.0,0.55,0.0,1.0,0.0,1.0,0.0,0.0,0.23,1.0,1.0,1.0,0.41,0.45,0.0,1.0,0.82,0.09,0.0,0.0,0.95,210,0.21,0.56,0.44,0.0
44-44,0.07,1.0,0.0,1.0,0.92,0.0,1,0.0,104,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,1.35,1.0,1.0,1.0,0.57,0.33,0.0,1.0,0.86,0.08,0.0,0.0,1.0,73,0.54,0.6,0.4,0.0
45-45,0.03,1.0,0.0,1.0,0.87,0.0,1,0.0,190,0.0,1.0,0.0,0.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,0.34,1.0,1.0,1.0,0.18,0.43,0.0,1.0,0.79,0.07,0.0,0.0,0.95,177,0.27,0.53,0.47,0.0
46-46,0.0,1.0,0.25,1.0,0.68,0.0,1,0.0,92,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.11,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.14,0.0,0.0,1.0,127,0.5,1.0,0.0,0.0
47-47,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,113,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.49,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,123,1.0,1.0,0.0,0.0
48-48,0.06,0.0,0.0,1.0,1.0,0.0,1,0.0,168,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.65,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.95,170,1.0,0.6,0.4,0.0
49-49,0.0,0.0,0.5,1.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.05,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,0.0
50-50,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,38,1.0,1.0,0.0,0.0
